,Movie_Names,Ratings,Released_Year,Movie_Link,Votes,Metascore,Userreviews,Criticreviews
125,  Top Gun: Maverick,8.2,2022,https://www.imdb.com/title/tt1745960/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_126,"<div class=""sc-bde20123-3 bjjENQ"">596K</div>",78,4.2K,427
126,  For a Few Dollars More,8.2,1965,https://www.imdb.com/title/tt0059578/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_127,"<div class=""sc-bde20123-3 bjjENQ"">263K</div>",74,358,112
127,  Batman Begins,8.2,2005,https://www.imdb.com/title/tt0372784/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_128,"<div class=""sc-bde20123-3 bjjENQ"">1.5M</div>",70,3.1K,343
128,  The Kid,8.2,1921,https://www.imdb.com/title/tt0012349/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_129,"<div class=""sc-bde20123-3 bjjENQ"">130K</div>",0,284,118
129,  Some Like It Hot,8.2,1959,https://www.imdb.com/title/tt0053291/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_130,"<div class=""sc-bde20123-3 bjjENQ"">274K</div>",98,505,235
130,  The Father,8.2,2020,https://www.imdb.com/title/tt10272386/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_131,"<div class=""sc-bde20123-3 bjjENQ"">170K</div>",88,1K,324
131,  The Wolf of Wall Street,8.2,2013,https://www.imdb.com/title/tt0993846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_132,"<div class=""sc-bde20123-3 bjjENQ"">1.5M</div>",75,1.7K,433
132,  All About Eve,8.2,1950,https://www.imdb.com/title/tt0042192/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_133,"<div class=""sc-bde20123-3 bjjENQ"">134K</div>",98,439,144
133,  Green Book,8.2,2018,https://www.imdb.com/title/tt6966692/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_134,"<div class=""sc-bde20123-3 bjjENQ"">521K</div>",69,1.7K,430
134,  Judgment at Nuremberg,8.2,1961,https://www.imdb.com/title/tt0055031/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_135,"<div class=""sc-bde20123-3 bjjENQ"">80K</div>",60,254,108
135,  Ran,8.2,1985,https://www.imdb.com/title/tt0089881/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_136,"<div class=""sc-bde20123-3 bjjENQ"">130K</div>",97,340,172
136,  The Truman Show,8.2,1998,https://www.imdb.com/title/tt0120382/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_137,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",90,1.4K,197
137,  Casino,8.2,1995,https://www.imdb.com/title/tt0112641/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_138,"<div class=""sc-bde20123-3 bjjENQ"">536K</div>",73,749,159
138,  There Will Be Blood,8.2,2007,https://www.imdb.com/title/tt0469494/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_139,"<div class=""sc-bde20123-3 bjjENQ"">603K</div>",93,1.5K,350
139,  Pan's Labyrinth,8.2,2006,https://www.imdb.com/title/tt0457430/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_140,"<div class=""sc-bde20123-3 bjjENQ"">682K</div>",98,1.3K,467
140,  Unforgiven,8.2,1992,https://www.imdb.com/title/tt0105695/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_141,"<div class=""sc-bde20123-3 bjjENQ"">422K</div>",85,708,146
141,  Shutter Island,8.2,2010,https://www.imdb.com/title/tt1130884/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_142,"<div class=""sc-bde20123-3 bjjENQ"">1.4M</div>",63,1.6K,527
142,  The Sixth Sense,8.2,1999,https://www.imdb.com/title/tt0167404/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_143,"<div class=""sc-bde20123-3 bjjENQ"">1M</div>",64,2.3K,266
143,  Jurassic Park,8.2,1993,https://www.imdb.com/title/tt0107290/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_144,"<div class=""sc-bde20123-3 bjjENQ"">1M</div>",68,1.4K,263
144,  A Beautiful Mind,8.2,2001,https://www.imdb.com/title/tt0268978/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_145,"<div class=""sc-bde20123-3 bjjENQ"">952K</div>",72,1.4K,161
145,  Yojimbo,8.1,1961,https://www.imdb.com/title/tt0055630/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_146,"<div class=""sc-bde20123-3 bjjENQ"">126K</div>",93,238,144
146,  The Treasure of the Sierra Madre,8.1,1948,https://www.imdb.com/title/tt0040897/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_147,"<div class=""sc-bde20123-3 bjjENQ"">128K</div>",98,324,115
147,  Monty Python and the Holy Grail,8.1,1975,https://www.imdb.com/title/tt0071853/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_148,"<div class=""sc-bde20123-3 bjjENQ"">553K</div>",91,856,123
148,  No Country for Old Men,8.1,2007,https://www.imdb.com/title/tt0477348/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_149,"<div class=""sc-bde20123-3 bjjENQ"">1M</div>",92,2.1K,534
149,  Kill Bill: Vol. 1,8.1,2003,https://www.imdb.com/title/tt0266697/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_150,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",69,2.4K,336
150,  The Great Escape,8.1,1963,https://www.imdb.com/title/tt0057115/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_151,"<div class=""sc-bde20123-3 bjjENQ"">250K</div>",86,441,126
151,  Rashomon,8.1,1950,https://www.imdb.com/title/tt0042876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_152,"<div class=""sc-bde20123-3 bjjENQ"">173K</div>",98,407,149
152,  The Thing,8.1,1982,https://www.imdb.com/title/tt0084787/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_153,"<div class=""sc-bde20123-3 bjjENQ"">440K</div>",57,1.3K,388
153,  Finding Nemo,8.1,2003,https://www.imdb.com/title/tt0266543/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_154,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",90,1K,143
154,  Spider-Man: No Way Home,8.1,2021,https://www.imdb.com/title/tt10872600/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_155,"<div class=""sc-bde20123-3 bjjENQ"">803K</div>",71,6.1K,429
155,  The Elephant Man,8.1,1980,https://www.imdb.com/title/tt0080678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_156,"<div class=""sc-bde20123-3 bjjENQ"">248K</div>",78,482,168
156,  Chinatown,8.1,1974,https://www.imdb.com/title/tt0071315/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_157,"<div class=""sc-bde20123-3 bjjENQ"">335K</div>",92,627,169
157,  Raging Bull,8.1,1980,https://www.imdb.com/title/tt0081398/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_158,"<div class=""sc-bde20123-3 bjjENQ"">364K</div>",90,671,147
158,  V for Vendetta,8.1,2005,https://www.imdb.com/title/tt0434409/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_159,"<div class=""sc-bde20123-3 bjjENQ"">1.1M</div>",62,2.4K,203
159,  Gone with the Wind,8.1,1939,https://www.imdb.com/title/tt0031381/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_160,"<div class=""sc-bde20123-3 bjjENQ"">323K</div>",97,993,139
160,  Dial M for Murder,8.1,1954,https://www.imdb.com/title/tt0046912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_161,"<div class=""sc-bde20123-3 bjjENQ"">181K</div>",75,421,117
161,  Inside Out,8.1,2015,https://www.imdb.com/title/tt2096673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_162,"<div class=""sc-bde20123-3 bjjENQ"">739K</div>",94,1.1K,598
162,"  Lock, Stock and Two Smoking Barrels",8.1,1998,https://www.imdb.com/title/tt0120735/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_163,"<div class=""sc-bde20123-3 bjjENQ"">596K</div>",66,649,122
163,  Howl's Moving Castle,8.1,2004,https://www.imdb.com/title/tt0347149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_164,"<div class=""sc-bde20123-3 bjjENQ"">413K</div>",82,580,243
164,  The Secret in Their Eyes,8.1,2009,https://www.imdb.com/title/tt1305806/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_165,"<div class=""sc-bde20123-3 bjjENQ"">214K</div>",80,348,288
165,  Guardians of the Galaxy Vol. 3,8.1,2023,https://www.imdb.com/title/tt6791350/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_166,"<div class=""sc-bde20123-3 bjjENQ"">170K</div>",64,1K,297
166,"  Three Billboards Outside Ebbing, Missouri",8.1,2017,https://www.imdb.com/title/tt5027774/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_167,"<div class=""sc-bde20123-3 bjjENQ"">527K</div>",88,1.3K,578
167,  Prisoners,8.1,2013,https://www.imdb.com/title/tt1392214/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_168,"<div class=""sc-bde20123-3 bjjENQ"">749K</div>",70,1.2K,501
168,  Trainspotting,8.1,1996,https://www.imdb.com/title/tt0117951/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_169,"<div class=""sc-bde20123-3 bjjENQ"">702K</div>",83,713,159
169,  The Bridge on the River Kwai,8.1,1957,https://www.imdb.com/title/tt0050212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_170,"<div class=""sc-bde20123-3 bjjENQ"">226K</div>",87,389,113
170,  Fargo,8.1,1996,https://www.imdb.com/title/tt0116282/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_171,"<div class=""sc-bde20123-3 bjjENQ"">694K</div>",86,1.1K,238
171,  Warrior,8.1,2011,https://www.imdb.com/title/tt1291584/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_172,"<div class=""sc-bde20123-3 bjjENQ"">482K</div>",71,826,338
172,  Gran Torino,8.1,2008,https://www.imdb.com/title/tt1205489/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_173,"<div class=""sc-bde20123-3 bjjENQ"">791K</div>",72,1.1K,370
173,  Catch Me If You Can,8.1,2002,https://www.imdb.com/title/tt0264464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_174,"<div class=""sc-bde20123-3 bjjENQ"">1M</div>",75,1K,203
174,  My Neighbor Totoro,8.1,1988,https://www.imdb.com/title/tt0096283/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_175,"<div class=""sc-bde20123-3 bjjENQ"">354K</div>",86,579,149
175,  Million Dollar Baby,8.1,2004,https://www.imdb.com/title/tt0405159/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_176,"<div class=""sc-bde20123-3 bjjENQ"">701K</div>",86,1.3K,266
176,  Children of Heaven,8.1,1997,https://www.imdb.com/title/tt0118849/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_177,"<div class=""sc-bde20123-3 bjjENQ"">77K</div>",77,206,65
177,  The Gold Rush,8.1,1925,https://www.imdb.com/title/tt0015864/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_178,"<div class=""sc-bde20123-3 bjjENQ"">114K</div>",0,274,130
178,  Blade Runner,8.1,1982,https://www.imdb.com/title/tt0083658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_179,"<div class=""sc-bde20123-3 bjjENQ"">789K</div>",84,1.7K,296
179,  Klaus,8.1,2019,https://www.imdb.com/title/tt4729430/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_180,"<div class=""sc-bde20123-3 bjjENQ"">167K</div>",65,833,120
180,  Harry Potter and the Deathly Hallows: Part 2,8.1,2011,https://www.imdb.com/title/tt1201607/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_181,"<div class=""sc-bde20123-3 bjjENQ"">903K</div>",85,1.1K,496
181,  12 Years a Slave,8.1,2013,https://www.imdb.com/title/tt2024544/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_182,"<div class=""sc-bde20123-3 bjjENQ"">717K</div>",96,982,493
182,  Before Sunrise,8.1,1995,https://www.imdb.com/title/tt0112471/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_183,"<div class=""sc-bde20123-3 bjjENQ"">321K</div>",77,610,161
183,  The Grand Budapest Hotel,8.1,2014,https://www.imdb.com/title/tt2278388/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_184,"<div class=""sc-bde20123-3 bjjENQ"">841K</div>",88,1K,583
184,  Ben-Hur,8.1,1959,https://www.imdb.com/title/tt0052618/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_185,"<div class=""sc-bde20123-3 bjjENQ"">246K</div>",90,503,88
185,  On the Waterfront,8.1,1954,https://www.imdb.com/title/tt0047296/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_186,"<div class=""sc-bde20123-3 bjjENQ"">159K</div>",91,391,169
186,  Gone Girl,8.1,2014,https://www.imdb.com/title/tt2267998/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=1a264172-ae11-42e4-8ef7-7fed1973bb8f&pf_rd_r=FG8NNRWKE00BTF5EYYMY&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_187,"<div class=""sc-bde20123-3 bjjENQ"">1M</div>",79,1.7K,639
